# Fixture: adac2024_oracle_targets.tsv | extracted 19 July 2026 by DDFS bridge fixture pinning
# Source: /Shared/Archive/2024/ADAC - 2024 Forecast Update/Data and Analysis/Design day/SENT/AUH_Design day forecast_10.06.2024_vSent.xlsx
# Egnyte group_id 7461fc92-e4ce-492b-973c-256615c380d4, entry_id 479e01db-b3ca-4bf8-ae59-4e5201b916e6 (Project Falcon, Design Day Flight Schedules - 2024, cover date 10-Jun-24)
# Sign convention: departures are NEGATIVE in the source hourly tables; signs kept as printed. Year labels read from column headers, never inferred.
# Summary - ATMs case filter as rendered: Case >> Base. Hourly table columns: 2019A 2019D 2024A 2024D 2028A 2028D 2032A 2032D 2038A 2038D 2044A 2044D 2040A (Motts) 2040D (Motts).
# Rolling-hour Max row: mapped to the rolling-hour table header beneath it (2019A..2044D plus 2032A/2032D (2023 DDFS)); mapping verified against the rolling table column maxima (e.g. 2023 DDFS A max 42, D max |-69|). Rolling Max departures are displayed POSITIVE in the source; recorded as printed.
# NOT extracted (flagged, not filled): Summary - ATMs section 3 'All data - movements' (rolling total movements, headers 2019/2023/2024/2028/2032/2042/Motts (2040), no Total/Max summary rows); the right-hand duplicate chart-feed blocks of each table; per-row rolling-hour and 5-minute detail.
# Summary - Pax contains NO hourly-interval table (only 'All data - rolling hour'); its Max and daily total rows are pinned below. Pax Motts columns hold placeholder value 1.
# Overview - High sheet exists (High case KPI block) but was not extracted; Overview - Base pinned below.
# Render coverage: first 2,000,000 characters of the workbook render fetched (covers Cover through AOG_High start); remainder of AOG_High data sheet not fetched - all Summary/Overview sheets fully covered.
sheet	section	measure	row	split	year	value
Summary - ATMs	Hourly ATMs	ATMs	00	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	00	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	00	A	2024	23
Summary - ATMs	Hourly ATMs	ATMs	00	D	2024	-5
Summary - ATMs	Hourly ATMs	ATMs	00	A	2028	27
Summary - ATMs	Hourly ATMs	ATMs	00	D	2028	-5
Summary - ATMs	Hourly ATMs	ATMs	00	A	2032	30
Summary - ATMs	Hourly ATMs	ATMs	00	D	2032	-5
Summary - ATMs	Hourly ATMs	ATMs	00	A	2038	38
Summary - ATMs	Hourly ATMs	ATMs	00	D	2038	-7
Summary - ATMs	Hourly ATMs	ATMs	00	A	2044	46
Summary - ATMs	Hourly ATMs	ATMs	00	D	2044	-7
Summary - ATMs	Hourly ATMs	ATMs	00	A (Motts)	2040	21
Summary - ATMs	Hourly ATMs	ATMs	00	D (Motts)	2040	-1
Summary - ATMs	Hourly ATMs	ATMs	01	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	01	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	01	A	2024	12
Summary - ATMs	Hourly ATMs	ATMs	01	D	2024	-4
Summary - ATMs	Hourly ATMs	ATMs	01	A	2028	22
Summary - ATMs	Hourly ATMs	ATMs	01	D	2028	-4
Summary - ATMs	Hourly ATMs	ATMs	01	A	2032	23
Summary - ATMs	Hourly ATMs	ATMs	01	D	2032	-5
Summary - ATMs	Hourly ATMs	ATMs	01	A	2038	28
Summary - ATMs	Hourly ATMs	ATMs	01	D	2038	-10
Summary - ATMs	Hourly ATMs	ATMs	01	A	2044	40
Summary - ATMs	Hourly ATMs	ATMs	01	D	2044	-12
Summary - ATMs	Hourly ATMs	ATMs	01	A (Motts)	2040	7
Summary - ATMs	Hourly ATMs	ATMs	01	D (Motts)	2040	-6
Summary - ATMs	Hourly ATMs	ATMs	02	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	02	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	02	A	2024	3
Summary - ATMs	Hourly ATMs	ATMs	02	D	2024	-32
Summary - ATMs	Hourly ATMs	ATMs	02	A	2028	4
Summary - ATMs	Hourly ATMs	ATMs	02	D	2028	-38
Summary - ATMs	Hourly ATMs	ATMs	02	A	2032	9
Summary - ATMs	Hourly ATMs	ATMs	02	D	2032	-46
Summary - ATMs	Hourly ATMs	ATMs	02	A	2038	15
Summary - ATMs	Hourly ATMs	ATMs	02	D	2038	-59
Summary - ATMs	Hourly ATMs	ATMs	02	A	2044	22
Summary - ATMs	Hourly ATMs	ATMs	02	D	2044	-71
Summary - ATMs	Hourly ATMs	ATMs	02	A (Motts)	2040	1
Summary - ATMs	Hourly ATMs	ATMs	02	D (Motts)	2040	-39
Summary - ATMs	Hourly ATMs	ATMs	03	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	03	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	03	A	2024	5
Summary - ATMs	Hourly ATMs	ATMs	03	D	2024	-12
Summary - ATMs	Hourly ATMs	ATMs	03	A	2028	12
Summary - ATMs	Hourly ATMs	ATMs	03	D	2028	-21
Summary - ATMs	Hourly ATMs	ATMs	03	A	2032	15
Summary - ATMs	Hourly ATMs	ATMs	03	D	2032	-26
Summary - ATMs	Hourly ATMs	ATMs	03	A	2038	16
Summary - ATMs	Hourly ATMs	ATMs	03	D	2038	-35
Summary - ATMs	Hourly ATMs	ATMs	03	A	2044	20
Summary - ATMs	Hourly ATMs	ATMs	03	D	2044	-45
Summary - ATMs	Hourly ATMs	ATMs	03	A (Motts)	2040	0
Summary - ATMs	Hourly ATMs	ATMs	03	D (Motts)	2040	-5
Summary - ATMs	Hourly ATMs	ATMs	04	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	04	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	04	A	2024	5
Summary - ATMs	Hourly ATMs	ATMs	04	D	2024	-1
Summary - ATMs	Hourly ATMs	ATMs	04	A	2028	6
Summary - ATMs	Hourly ATMs	ATMs	04	D	2028	-7
Summary - ATMs	Hourly ATMs	ATMs	04	A	2032	9
Summary - ATMs	Hourly ATMs	ATMs	04	D	2032	-12
Summary - ATMs	Hourly ATMs	ATMs	04	A	2038	18
Summary - ATMs	Hourly ATMs	ATMs	04	D	2038	-16
Summary - ATMs	Hourly ATMs	ATMs	04	A	2044	18
Summary - ATMs	Hourly ATMs	ATMs	04	D	2044	-20
Summary - ATMs	Hourly ATMs	ATMs	04	A (Motts)	2040	2
Summary - ATMs	Hourly ATMs	ATMs	04	D (Motts)	2040	0
Summary - ATMs	Hourly ATMs	ATMs	05	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	05	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	05	A	2024	6
Summary - ATMs	Hourly ATMs	ATMs	05	D	2024	-3
Summary - ATMs	Hourly ATMs	ATMs	05	A	2028	15
Summary - ATMs	Hourly ATMs	ATMs	05	D	2028	-3
Summary - ATMs	Hourly ATMs	ATMs	05	A	2032	19
Summary - ATMs	Hourly ATMs	ATMs	05	D	2032	-5
Summary - ATMs	Hourly ATMs	ATMs	05	A	2038	21
Summary - ATMs	Hourly ATMs	ATMs	05	D	2038	-6
Summary - ATMs	Hourly ATMs	ATMs	05	A	2044	22
Summary - ATMs	Hourly ATMs	ATMs	05	D	2044	-6
Summary - ATMs	Hourly ATMs	ATMs	05	A (Motts)	2040	11
Summary - ATMs	Hourly ATMs	ATMs	05	D (Motts)	2040	0
Summary - ATMs	Hourly ATMs	ATMs	06	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	06	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	06	A	2024	20
Summary - ATMs	Hourly ATMs	ATMs	06	D	2024	-8
Summary - ATMs	Hourly ATMs	ATMs	06	A	2028	27
Summary - ATMs	Hourly ATMs	ATMs	06	D	2028	-16
Summary - ATMs	Hourly ATMs	ATMs	06	A	2032	33
Summary - ATMs	Hourly ATMs	ATMs	06	D	2032	-19
Summary - ATMs	Hourly ATMs	ATMs	06	A	2038	37
Summary - ATMs	Hourly ATMs	ATMs	06	D	2038	-20
Summary - ATMs	Hourly ATMs	ATMs	06	A	2044	42
Summary - ATMs	Hourly ATMs	ATMs	06	D	2044	-21
Summary - ATMs	Hourly ATMs	ATMs	06	A (Motts)	2040	45
Summary - ATMs	Hourly ATMs	ATMs	06	D (Motts)	2040	-3
Summary - ATMs	Hourly ATMs	ATMs	07	A	2019	0
Summary - ATMs	Hourly ATMs	ATMs	07	D	2019	0
Summary - ATMs	Hourly ATMs	ATMs	07	A	2024	12
Summary - ATMs	Hourly ATMs	ATMs	07	D	2024	-4
Summary - ATMs	Hourly ATMs	ATMs	07	A	2028	21
Summary - ATMs	Hourly ATMs	ATMs	07	D	2028	-15
Summary - ATMs	Hourly ATMs	ATMs	07	A	2032	23
Summary - ATMs	Hourly ATMs	ATMs	07	D	2032	-18
Summary - ATMs	Hourly ATMs	ATMs	07	A	2038	25
Summary - ATMs	Hourly ATMs	ATMs	07	D	2038	-22
Summary - ATMs	Hourly ATMs	ATMs	07	A	2044	32
