# Fixture: bologna_s25_oracle_targets.tsv | extracted 19 July 2026
# Source: /Shared/Archive/2025/Bologna - Traffic Forecast Update 2025/Forecast/DDFS/DesignDay_S25.xlsx
# Egnyte group_id cd5eaf23-5814-4a28-b4e0-e9e53c9e7256, entry_id 2d6fb095-a93c-4781-be9b-41bead8a8771 (v13, last modified 24 Nov 2025 09:47)
# Version choice: the DDFS/SENT to client folder contains transmittal .msg emails only (no standalone workbook); the final transmittal 'Latest DDFS and Summaries.msg' is dated 24 Nov 2025, same day as this file's last modification, and this is the only/most recent DesignDay_S25.xlsx in the engagement DDFS folder - so it is taken as the sent version.
# ANOMALY FLAG: the Cover sheet reads 'Design Day W31 - DRAFT' (24-Nov-25) although the file is DesignDay_S25; chart titles inside read 'Design Day SS 25' and DayBeforeArr covers services arriving 20 Jul 2025 / taking off 21 Jul 2025, confirming S25 content. Cover title appears to be a stale label.
# Year column: single design-day workbook (Summer 2025 design day, 21 Jul 2025); year = 2025 throughout, read from 'Design Day SS 25' chart labels and the 20/21 Jul 2025 schedule dates.
# StandDemand: three blocks (pax, cargo, pax & cargo) x ICAO classes A-F plus A+B+C+D+E+F. Pinned: Max Acft on ground, carried-in ATMs (arriving evening before and departing on DDFS day), Grand Total Arr/Dep ATMs per class, and hourly AOG (end of clock hour) for the A+B+C+D+E+F column of each block.
# DATA ODDITY FLAG: cargo class D 'Acft on ground' is -1 at hour 23 (recorded as printed). An unlabelled residual row follows the Grand Total row on StandDemand (pax C=2; cargo D=-1; pax&cargo C=3, D=-1, total 5); not extracted as it carries no label.
# DayBeforeArr: NO summary count table on the sheet - it is a flight-level ledger of 10 carried-in services; the count is pinned via the StandDemand carried-in row (pax C=10, total=10), which matches the ledger row count.
# Busy-hour: Clock_* sheets are clock-hour summaries. Pinned: Max per bound (Dep/Arr/Dep+Arr) for all six Clock_* sheets; full hourly values for Clock_Total_ATMs and Clock_Total_Seats. Hourly detail of Clock_Sch_*/Clock_ExtraSch_* present in source but not extracted (Max only).
# Thousands separators (e.g. 1,452) stripped; values otherwise as printed. Rolling 60-min chart-feed sheets (C1-C18) and Roll60Mins working sheet not extracted.
sheet	section	measure	row	split	year	value
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A	2025	0
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	B	2025	0
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	C	2025	10
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	D	2025	0
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	E	2025	0
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	F	2025	0
StandDemand	pax	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A+B+C+D+E+F	2025	10
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	B	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	C	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	D	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	E	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	F	2025	0
StandDemand	cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A+B+C+D+E+F	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	B	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	C	2025	10
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	D	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	E	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	F	2025	0
StandDemand	pax & cargo	Carried-in ATMs (arr evening before, dep DDFS day)	Carried-in	A+B+C+D+E+F	2025	10
StandDemand	pax	Max AOG	Max	A	2025	0
StandDemand	pax	Max AOG	Max	B	2025	0
StandDemand	pax	Max AOG	Max	C	2025	18
StandDemand	pax	Max AOG	Max	D	2025	0
StandDemand	pax	Max AOG	Max	E	2025	1
StandDemand	pax	Max AOG	Max	F	2025	0
StandDemand	pax	Max AOG	Max	A+B+C+D+E+F	2025	18
StandDemand	cargo	Max AOG	Max	A	2025	0
StandDemand	cargo	Max AOG	Max	B	2025	1
StandDemand	cargo	Max AOG	Max	C	2025	3
StandDemand	cargo	Max AOG	Max	D	2025	2
StandDemand	cargo	Max AOG	Max	E	2025	0
StandDemand	cargo	Max AOG	Max	F	2025	0
StandDemand	cargo	Max AOG	Max	A+B+C+D+E+F	2025	5
StandDemand	pax & cargo	Max AOG	Max	A	2025	0
StandDemand	pax & cargo	Max AOG	Max	B	2025	1
StandDemand	pax & cargo	Max AOG	Max	C	2025	18
StandDemand	pax & cargo	Max AOG	Max	D	2025	2
StandDemand	pax & cargo	Max AOG	Max	E	2025	1
StandDemand	pax & cargo	Max AOG	Max	F	2025	0
StandDemand	pax & cargo	Max AOG	Max	A+B+C+D+E+F	2025	19
StandDemand	pax	AOG (end of clock hour)	0	A+B+C+D+E+F	2025	15
StandDemand	cargo	AOG (end of clock hour)	0	A+B+C+D+E+F	2025	0
StandDemand	pax & cargo	AOG (end of clock hour)	0	A+B+C+D+E+F	2025	15
StandDemand	pax	AOG (end of clock hour)	1	A+B+C+D+E+F	2025	18
StandDemand	cargo	AOG (end of clock hour)	1	A+B+C+D+E+F	2025	0
StandDemand	pax & cargo	AOG (end of clock hour)	1	A+B+C+D+E+F	2025	18
StandDemand	pax	AOG (end of clock hour)	2	A+B+C+D+E+F	2025	18
StandDemand	cargo	AOG (end of clock hour)	2	A+B+C+D+E+F	2025	0
StandDemand	pax & cargo	AOG (end of clock hour)	2	A+B+C+D+E+F	2025	18
StandDemand	pax	AOG (end of clock hour)	3	A+B+C+D+E+F	2025	18
StandDemand	cargo	AOG (end of clock hour)	3	A+B+C+D+E+F	2025	1
StandDemand	pax & cargo	AOG (end of clock hour)	3	A+B+C+D+E+F	2025	19
StandDemand	pax	AOG (end of clock hour)	4	A+B+C+D+E+F	2025	18
StandDemand	cargo	AOG (end of clock hour)	4	A+B+C+D+E+F	2025	1
StandDemand	pax & cargo	AOG (end of clock hour)	4	A+B+C+D+E+F	2025	19
StandDemand	pax	AOG (end of clock hour)	5	A+B+C+D+E+F	2025	15
StandDemand	cargo	AOG (end of clock hour)	5	A+B+C+D+E+F	2025	2
StandDemand	pax & cargo	AOG (end of clock hour)	5	A+B+C+D+E+F	2025	17
StandDemand	pax	AOG (end of clock hour)	6	A+B+C+D+E+F	2025	7
StandDemand	cargo	AOG (end of clock hour)	6	A+B+C+D+E+F	2025	2
StandDemand	pax & cargo	AOG (end of clock hour)	6	A+B+C+D+E+F	2025	9
StandDemand	pax	AOG (end of clock hour)	7	A+B+C+D+E+F	2025	3
StandDemand	cargo	AOG (end of clock hour)	7	A+B+C+D+E+F	2025	2
StandDemand	pax & cargo	AOG (end of clock hour)	7	A+B+C+D+E+F	2025	5
StandDemand	pax	AOG (end of clock hour)	8	A+B+C+D+E+F	2025	6
StandDemand	cargo	AOG (end of clock hour)	8	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	8	A+B+C+D+E+F	2025	9
StandDemand	pax	AOG (end of clock hour)	9	A+B+C+D+E+F	2025	9
StandDemand	cargo	AOG (end of clock hour)	9	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	9	A+B+C+D+E+F	2025	12
StandDemand	pax	AOG (end of clock hour)	10	A+B+C+D+E+F	2025	4
StandDemand	cargo	AOG (end of clock hour)	10	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	10	A+B+C+D+E+F	2025	7
StandDemand	pax	AOG (end of clock hour)	11	A+B+C+D+E+F	2025	5
StandDemand	cargo	AOG (end of clock hour)	11	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	11	A+B+C+D+E+F	2025	8
StandDemand	pax	AOG (end of clock hour)	12	A+B+C+D+E+F	2025	2
StandDemand	cargo	AOG (end of clock hour)	12	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	12	A+B+C+D+E+F	2025	5
StandDemand	pax	AOG (end of clock hour)	13	A+B+C+D+E+F	2025	3
StandDemand	cargo	AOG (end of clock hour)	13	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	13	A+B+C+D+E+F	2025	6
StandDemand	pax	AOG (end of clock hour)	14	A+B+C+D+E+F	2025	7
StandDemand	cargo	AOG (end of clock hour)	14	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	14	A+B+C+D+E+F	2025	10
StandDemand	pax	AOG (end of clock hour)	15	A+B+C+D+E+F	2025	7
StandDemand	cargo	AOG (end of clock hour)	15	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	15	A+B+C+D+E+F	2025	10
StandDemand	pax	AOG (end of clock hour)	16	A+B+C+D+E+F	2025	5
StandDemand	cargo	AOG (end of clock hour)	16	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	16	A+B+C+D+E+F	2025	8
StandDemand	pax	AOG (end of clock hour)	17	A+B+C+D+E+F	2025	4
StandDemand	cargo	AOG (end of clock hour)	17	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	17	A+B+C+D+E+F	2025	7
StandDemand	pax	AOG (end of clock hour)	18	A+B+C+D+E+F	2025	7
StandDemand	cargo	AOG (end of clock hour)	18	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	18	A+B+C+D+E+F	2025	10
StandDemand	pax	AOG (end of clock hour)	19	A+B+C+D+E+F	2025	5
StandDemand	cargo	AOG (end of clock hour)	19	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	19	A+B+C+D+E+F	2025	8
StandDemand	pax	AOG (end of clock hour)	20	A+B+C+D+E+F	2025	4
StandDemand	cargo	AOG (end of clock hour)	20	A+B+C+D+E+F	2025	4
StandDemand	pax & cargo	AOG (end of clock hour)	20	A+B+C+D+E+F	2025	8
StandDemand	pax	AOG (end of clock hour)	21	A+B+C+D+E+F	2025	2
StandDemand	cargo	AOG (end of clock hour)	21	A+B+C+D+E+F	2025	5
StandDemand	pax & cargo	AOG (end of clock hour)	21	A+B+C+D+E+F	2025	7
StandDemand	pax	AOG (end of clock hour)	22	A+B+C+D+E+F	2025	6
StandDemand	cargo	AOG (end of clock hour)	22	A+B+C+D+E+F	2025	3
StandDemand	pax & cargo	AOG (end of clock hour)	22	A+B+C+D+E+F	2025	9
StandDemand	pax	AOG (end of clock hour)	23	A+B+C+D+E+F	2025	9
StandDemand	cargo	AOG (end of clock hour)	23	A+B+C+D+E+F	2025	0
